,AGENCY_ID,PRIMARY_AGENCY_ID,STAT_PROFILE_DATE_YEAR,RETENTION_POLY_QTY,POLY_INFORCE_QTY,PREV_POLY_INFORCE_QTY,NB_WRTN_PREM_AMT,WRTN_PREM_AMT,PREV_WRTN_PREM_AMT,PRD_ERND_PREM_AMT,PRD_INCRD_LOSSES_AMT,MONTHS,RETENTION_RATIO,LOSS_RATIO,LOSS_RATIO_3YR,GROWTH_RATE_3YR,AGENCY_APPOINTMENT_YEAR,ACTIVE_PRODUCERS,MAX_AGE,MIN_AGE,PL_START_YEAR,PL_END_YEAR,COMMISIONS_START_YEAR,COMMISIONS_END_YEAR,CL_START_YEAR,CL_END_YEAR,ACTIVITY_NOTES_START_YEAR,ACTIVITY_NOTES_END_YEAR,CL_BOUND_CT_MDS,CL_QUO_CT_MDS,CL_BOUND_CT_SBZ,CL_QUO_CT_SBZ,CL_BOUND_CT_eQT,CL_QUO_CT_eQT,PL_BOUND_CT_ELINKS,PL_QUO_CT_ELINKS,PL_BOUND_CT_PLRANK,PL_QUO_CT_PLRANK,PL_BOUND_CT_eQTte,PL_QUO_CT_eQTte,PL_BOUND_CT_APPLIED,PL_QUO_CT_APPLIED,PL_BOUND_CT_TRANSACTNOW,PL_QUO_CT_TRANSACTNOW
count,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0,213328.0
mean,4978.964158478962,21840.982205805147,2010.1917376059403,158.63452523813095,175.6169185479637,6694.153369459236,2243.651367706068,19632.683771094275,26008.119052351314,19458.7189239106,11072.956395550513,10.37042019800495,60928.40601893833,24926.569481966977,23024.11868229118,42688.28581223044,4578.353516650416,2669.9970421135527,2718.4803166954175,2679.6941001650043,39764.46308501463,98090.92211524038,67206.32561126529,96451.11299501237,61407.858935535885,96063.51646759918,80803.1527038176,98129.58773344333,46261.83620996775,46263.5430557639,46262.626842233556,46263.39794588615,46262.11734512113,46262.38612840321,26928.162205617642,26969.472127428187,26931.800401260032,27039.756497037426,26963.478080702018,27091.403322583064,26928.08100202505,26933.59628365709,26927.300134065852,26927.453376959424
std,2928.0276415472367,36410.355439668085,3.129108076079342,718.7662950402139,774.6408596692371,24639.586043685624,9976.80166691789,66443.95447412433,70080.93095277953,66351.15236071587,69472.7275754537,3.008576297358041,48790.262492104695,43257.880847114495,42098.34951729168,49462.19457902065,15723.090320413163,16037.558551830429,16029.548259656913,16035.939563833585,47690.81958381444,13539.970584001103,46238.520913633576,18304.819264094225,47876.54345106489,19238.975827103117,38890.127418712036,13404.478932632204,49859.043047467996,49857.45962189282,49858.30956174673,49857.594191125274,49858.78225943199,49858.53289982508,44357.46062780812,44333.1866649207,44355.25689121127,44291.27319719933,44336.059501022486,44258.97069152711,44357.50978614167,44354.18021442346,44357.98344250826,44357.89044745219
min,3.0,3.0,2005.0,0.0,0.0,0.0,0.0,-202777.6,-186181.04,-164348.98,-5000000.0,1.0,0.0,-756.2285714,-7215.007215,-1.0,1935.0,1.0,38.0,11.0,1994.0,2004.0,2003.0,2003.0,2011.0,2011.0,2013.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2366.0,2788.0,2008.0,0.0,0.0,0.0,0.0,2.0275,148.0,76.0,0.0,10.0,0.91954023,0.0,0.27181772,-0.038416948,1978.0,11.0,70.0,30.0,2004.0,99999.0,2012.0,99999.0,2012.0,99999.0,99999.0,99999.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,66.0,0.0,0.0,0.0,0.0
50%,4976.0,6110.0,2010.0,0.0,0.0,0.0,0.0,1143.62,1781.0,1180.49,0.0,12.0,99999.0,0.0,0.543219269,0.141791461,1990.0,19.0,78.0,35.0,2012.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,4.0,16.0,10.0,13.0,6.0,8.0,0.0,0.0,0.0,0.0,51.0,258.0,0.0,0.0,0.0,0.0
75%,7589.0,9285.0,2013.0,24.0,30.0,72.0,485.0,8358.695,14773.15,8231.5625,0.0,12.0,99999.0,85.9585708475,2.72608455,99999.0,2002.0,36.0,85.0,44.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
max,9998.0,99999.0,2015.0,21979.0,22968.0,99999.0,556930.22,1715741.77,1904569.99,1780498.16,6241231.26,12.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
